registro_id,data_registro,linha_producao,turno,maquina,idade_maquina_anos,temperatura_valor,unidade_temperatura,pressao_valor,unidade_pressao,vibracao_motor_mm_s,velocidade_esteira_m_min,umidade_pct,tamanho_lote,tempo_setup_min,paradas_nao_planejadas,taxa_defeitos_pct,energia_sensor_b_kwh,codigo_campanha,ruido_aleatorio,consumo_energia_kwh,falha_24h
REG-00000,2025-01-01 00:00:00,L-C,Tarde,M05,10,764.04,C,5.925,bar,2.826,42.87,60.76,1958,34.68,3,2.044,550.54,C99,-1.0691204379907002,540.04,1
REG-00001,01/01/2025 06:00,Linha B,tarde,M05,13,784.92,C,88.796,psi,3.252,36.85,25.79,3569,48.07,2,2.443,584.19,X00,0.25709640070502887,576.34,0
REG-00002,01-01-2025 12:00,Linha C,N,M02,10,751.23,C,5.337,bar,3.003,40.38,79.18,2014,26.37,0,2.15,484.3,X00,-1.518390053038153,477.44,0
REG-00003,2025-01-01 18:00:00,linha b,noite,M07,9,792.82,C,6.539,bar,"2,538",35.66,61.34,2943,49.33,0,1.956,541.6,X00,-0.09408301957142737,521.25,0
REG-00004,02/01/2025 00:00,linha_A,M,M06,8,1367.43,F,57.961,psi,2.431,44.73,63.36,2728,21.74,1,2.022,443.83,B07,1.095612037126704,443.24,0
REG-00005,01-02-2025 06:00,linha c,manha,M07,4,743.73,C,4.695,bar,2.788,42.75,53.28,2411,41.74,0,1.938,497.17,C99,0.5475538789942053,483.53,0
REG-00006,2025-01-02 12:00:00,Linha C,TARDE,M04,5,750.38,C,5.194,bar,3.37,34.59,32.74,1329,24.78,1,1.989,480.89,A12,-1.2339500495908844,471.29,0
REG-00007,02/01/2025 18:00,C,T,M08,12,727.46,C,4.399,bar,2.518,43.58,63.1,3220,44.82,1,3.672,468.02,C99,-1.898386382837097,467.86,0
REG-00008,01-03-2025 00:00,L-A,manha,M04,2,738.43,C,4.939,bar,1.193,41.75,48.22,4958,44.65,2,3.209,548.14,C99,0.496944580460768,548.53,0
REG-00009,2025-01-03 06:00:00,B,Tarde,M07,2,-50.0,C,7.522,bar,1.329,44.32,61.53,3502,65.05,0,2.57,545.62,X00,1.5811987953584126,550.96,0
REG-00010,03/01/2025 12:00,Linha A,Noturno,M02,6,769.93,C,5.685,bar,,40.24,52.37,3932,29.26,0,0.836,479.53,A12,-0.9639460368701671,468.62,0
REG-00011,01-03-2025 18:00,,Noturno,M02,12,727.18,C,4.145,bar,3.463,38.39,57.86,4174,47.6,1,3.238,532.46,X00,2.0974040781763614,"525,09",0
REG-00012,2025-01-04 00:00:00,linha_B,T,M05,10,,C,80.669,psi,3.066,38.53,45.7,960,38.31,2,3.722,490.13,C99,-0.006493288169000422,489.39,0
REG-00013,04/01/2025 06:00,linha_C,Tarde,M05,9,753.98,C,5.205,bar,2.747,39.58,65.37,4129,35.36,0,1.27,542.27,A12,-1.958693533674366,549.04,0
REG-00014,01-04-2025 12:00,linha_B,Manhã,M06,9,801.1,C,6.678,bar,2.908,42.08,40.74,1818,37.22,0,2.822,508.43,X00,-1.560880356713502,497.51,0
REG-00015,2025-01-04 18:00:00,linha a,Vespertino,M03,2,764.64,C,80.308,psi,1.449,42.67,81.95,3592,47.29,0,1.575,539.37,B07,0.7699491493714125,532.77,0
REG-00016,05/01/2025 00:00,B,Matutino,M07,5,796.53,C,7.38,bar,2.04,41.14,81.86,4932,35.14,1,2.647,547.52,B07,0.12956804083503448,545.05,0
REG-00017,01-05-2025 06:00,linha_A,Vespertino,M03,2,774.33,C,5.146,bar,1.751,40.1,74.59,4555,64.39,1,1.626,522.86,A12,1.4822209657932635,522.73,0
REG-00018,2025-01-05 12:00:00,C,NOITE,M05,12,,C,5.349,bar,,40.42,70.31,2540,54.39,0,2.502,529.14,A12,-1.198124766698186,523.2,1
REG-00019,05/01/2025 18:00,,Matutino,M08,12,748.96,C,,bar,2.537,,53.99,4319,37.28,1,2.515,520.44,A12,0.11849479816377954,509.04,0
REG-00020,01-06-2025 00:00,L-B,manha,M05,4,789.88,C,6.123,bar,1.515,38.53,69.0,3398,35.4,0,2.963,496.18,B07,0.0067610613883565315,491.44,0
REG-00021,2025-01-06 06:00:00,linha_A,M,M06,5,748.97,C,5.484,bar,2.494,39.49,53.85,1359,31.38,1,2.594,446.46,B07,-0.14301452305724197,449.23,0
REG-00022,06/01/2025 12:00,Linha C,NOITE,M08,5,1411.76,F,5.981,bar,2.26,56.82,36.36,1807,50.6,0,2.18,505.04,B07,-0.38260722864699254,498.03,0
REG-00023,01-06-2025 18:00,L-C,Vespertino,M08,14,741.34,C,4.924,bar,"3,595",43.89,73.04,4818,32.13,0,3.897,554.29,C99,-0.36269937553848075,537.86,0
REG-00024,2025-01-07 00:00:00,linha_C,Manhã,M04,8,1375.14,F,4.991,bar,1.712,35.79,140.0,4643,28.51,0,3.09,523.38,X00,0.17464582428037445,515.32,0
REG-00025,07/01/2025 06:00,Linha A,Noturno,M04,12,769.34,C,5.741,bar,2.392,45.79,54.62,4545,42.3,1,3.399,583.99,X00,0.3025810278382157,574.82,0
REG-00026,01-07-2025 12:00,L-B,Vespertino,M02,7,783.23,C,6.16,bar,2.708,37.9,40.3,2413,51.6,2,3.318,586.21,B07,0.25257285010324343,"580,11",0
REG-00027,2025-01-07 18:00:00,Linha A,TARDE,M05,11,1427.51,F,5.931,bar,1.68,46.09,47.97,2147,63.0,0,1.391,471.05,X00,1.2059875089071193,471.1,0
REG-00028,08/01/2025 00:00,linha_A,Noite,M08,8,758.2,C,5.38,bar,3.091,,33.15,4185,61.17,0,2.579,521.91,C99,-1.2012785122887206,521.47,0
REG-00029,01-08-2025 06:00,linha_B,M,M04,5,761.32,C,81.625,psi,,40.02,66.34,884,47.36,0,2.126,421.9,B07,-1.811683534504736,"428,77",0
REG-00030,2025-01-08 12:00:00,Linha B,Manhã,M03,14,1475.42,F,7.021,bar,3.7,49.24,35.76,4569,50.81,0,4.639,592.59,A12,1.0169650543878639,574.52,0
REG-00031,08/01/2025 18:00,C,tarde,M01,11,774.88,C,5.516,bar,2.53,44.55,58.44,3336,57.74,1,1.301,540.44,B07,-0.9435250409089915,528.8,0
REG-00032,01-09-2025 00:00,linha a,Manhã,M04,12,741.3,C,66.303,psi,3.532,46.38,44.88,3457,35.67,1,3.273,507.85,A12,-0.3794758186151776,499.7,0
REG-00033,2025-01-09 06:00:00,linha_A,noite,M02,15,1423.82,F,5.285,bar,,43.96,37.88,2641,30.86,1,2.437,516.11,A12,-0.6120996398827769,506.15,0
REG-00034,09/01/2025 12:00,linha b,M,M08,4,759.63,C,5.792,bar,0.997,40.0,57.86,4913,45.04,0,2.047,543.18,X00,-0.6335123220917724,532.47,0
REG-00035,01-09-2025 18:00,L-A,manha,M05,2,733.68,C,4.798,bar,2.073,44.75,50.99,3948,25.33,1,2.566,461.44,A12,-1.4582640382249243,460.41,0
REG-00036,2025-01-10 00:00:00,Linha A,MANHA,M02,9,1424.5,F,6.085,bar,"1,856",47.44,65.06,1026,45.02,2,2.377,480.8,C99,-0.5695275877347149,476.26,0
REG-00037,10/01/2025 06:00,linha b,TARDE,M01,5,755.33,C,4.859,bar,2.342,42.61,39.79,3003,42.44,0,0.851,498.65,A12,0.6493311122795312,495.02,0
REG-00038,01-10-2025 12:00,linha_A,Manhã,M07,7,771.68,C,6.475,bar,2.317,50.11,45.91,4410,46.38,0,2.289,588.62,C99,-0.0039314396099758234,"560,13",0
REG-00039,2025-01-10 18:00:00,linha b,manha,M08,4,768.45,C,5.54,bar,2.078,45.83,26.35,1121,51.05,0,1.765,498.14,X00,0.5045071285069141,"482,74",0
REG-00040,11/01/2025 00:00,L-B,Noite,M07,6,777.19,C,6.075,bar,1.87,,28.79,3894,52.18,0,2.033,521.3,B07,-0.49608199744484854,512.27,0
REG-00041,01-11-2025 06:00,linha_C,MANHA,M01,6,750.38,C,5.51,bar,2.631,43.13,76.58,1827,44.54,2,3.672,483.86,A12,0.9028459907819298,465.95,0
REG-00042,2025-01-11 12:00:00,linha_B,Tarde,M01,6,796.46,C,6.248,bar,1.628,42.62,80.0,2927,36.9,2,2.573,563.62,A12,-0.5083618753435353,545.52,0
REG-00043,11/01/2025 18:00,Linha A,MANHA,M02,12,740.13,C,68.35,psi,3.619,36.37,56.11,4506,50.69,1,3.2,529.2,X00,-2.108557300525894,532.26,0
REG-00044,01-12-2025 00:00,linha c,Tarde,M07,9,768.92,C,84.561,psi,2.486,41.59,45.11,2867,38.65,1,1.827,490.99,A12,0.31662379292629717,485.49,1
REG-00045,2025-01-12 06:00:00,L-C,M,M07,8,745.04,C,6.051,bar,1.909,43.0,51.42,958,42.24,1,2.457,448.84,B07,0.7673847690286804,442.34,0
REG-00046,12/01/2025 12:00,linha_A,Vespertino,M07,2,,C,5.167,bar,2.478,40.13,65.48,887,68.82,0,3.742,481.41,X00,-0.5592390124192269,469.47,0
REG-00047,01-12-2025 18:00,linha_A,M,M01,9,1385.5,F,5.82,bar,2.64,43.52,48.83,3894,47.99,1,2.18,521.98,C99,1.199206267408414,516.03,0
REG-00048,2025-01-13 00:00:00,L-B,Noturno,M02,3,805.86,C,7.298,bar,2.748,,57.85,4709,44.0,0,2.637,550.97,X00,-0.85069218770483,543.61,0
REG-00049,13/01/2025 06:00,Linha A,noite,M08,5,793.18,C,6.624,bar,2.7,45.48,54.85,2026,32.53,1,4.0,476.85,X00,0.6707268128673335,473.44,0
REG-00050,01-13-2025 12:00,L-A,Manhã,M08,7,767.91,C,5.391,bar,2.051,44.98,48.17,4728,55.64,0,1.387,563.34,C99,1.7447759421571496,546.75,0
REG-00051,2025-01-13 18:00:00,linha a,sem_info,M06,3,733.57,C,73.652,psi,1.852,42.75,48.69,2701,47.72,0,1.476,482.11,X00,0.03673098437154982,486.36,0
REG-00052,14/01/2025 00:00,linha_C,M,M01,6,751.83,C,4.731,bar,2.334,35.85,58.52,1046,51.41,0,1.442,530.12,A12,-0.22648308602302578,525.65,0
REG-00053,01-14-2025 06:00,B,tarde,M01,5,1474.37,F,105.874,psi,2.837,50.06,,3030,43.58,1,2.16,492.14,A12,-0.10567167547406495,499.4,0
REG-00054,2025-01-14 12:00:00,Linha B,MANHA,M01,13,786.06,C,6.352,bar,3.387,41.36,60.42,4889,63.01,2,1.59,605.98,B07,1.628295386951797,605.14,0
REG-00055,14/01/2025 18:00,linha_C,NOITE,M06,13,765.13,C,4.726,bar,3.269,41.64,49.34,1850,65.86,0,1.574,532.17,X00,0.40278257379117727,521.8,0
REG-00056,01-15-2025 00:00,linha_B,NOITE,M07,1,787.54,C,6.207,bar,1.54,40.46,56.53,4834,39.6,0,2.24,514.06,C99,2.1442026772186713,503.81,0
REG-00057,2025-01-15 06:00:00,B,N,M06,10,779.7,C,91.661,psi,2.777,39.8,71.61,3538,45.62,2,3.197,559.28,B07,0.2792513879440206,553.48,0
REG-00058,15/01/2025 12:00,linha_A,Tarde,M03,10,757.05,C,5.329,bar,3.387,48.95,52.98,2463,57.73,1,2.711,566.82,A12,-0.653796659903744,549.59,0
REG-00059,01-15-2025 18:00,Linha A,Noturno,M07,6,728.84,C,4.815,bar,2.282,48.24,66.04,3712,31.35,1,3.294,519.13,X00,-0.58350693521321,500.78,0
REG-00060,2025-01-16 00:00:00,linha b,Matutino,M01,8,779.11,C,5.776,bar,2.362,44.0,33.5,2483,35.98,1,1.489,539.79,X00,0.06160726549294719,532.36,1
REG-00061,16/01/2025 06:00,Linha B,Vespertino,M07,12,,C,5.923,bar,"2,806",41.52,49.36,1157,48.76,1,3.22,466.66,A12,-2.041322615969686,457.79,0
REG-00062,01-16-2025 12:00,linha b,Manhã,M08,6,,C,6.166,bar,2.031,44.79,140.0,4457,21.3,0,3.105,482.64,B07,-0.47498983672062767,479.08,0
REG-00063,2025-01-16 18:00:00,linha c,noite,M06,1,726.92,C,4.519,bar,0.999,42.33,78.08,2370,46.13,0,3.109,519.25,C99,-0.45279783404976814,506.63,0
REG-00064,17/01/2025 00:00,B,sem_info,M08,6,1467.7,F,,bar,1.942,41.14,31.48,3176,30.65,1,3.057,527.9,A12,0.23978975541886646,529.51,0
REG-00065,01-17-2025 06:00,linha b,noite,M05,4,817.98,C,7.669,bar,2.694,,53.85,3926,34.14,0,2.551,561.61,C99,1.9418182204014498,539.16,0
REG-00066,2025-01-17 12:00:00,B,,M04,6,774.41,C,5.635,bar,2.187,40.01,72.48,1148,39.64,0,2.568,513.81,X00,0.05481648840917931,497.23,0
REG-00067,17/01/2025 18:00,linha a,Noite,M03,4,761.89,C,5.666,bar,2.337,43.14,45.58,3830,40.27,0,2.855,465.46,X00,-1.9226590871263654,468.03,0
REG-00068,01-18-2025 00:00,linha a,Tarde,M08,3,773.56,C,5.931,bar,0.775,42.92,52.45,2334,34.48,3,2.386,533.51,X00,-0.9139076498769614,531.84,0
REG-00069,2025-01-18 06:00:00,linha_B,T,M06,15,822.58,C,6.833,bar,3.706,44.71,58.98,3087,52.19,0,3.606,578.29,X00,0.2622878618709137,566.42,0
REG-00070,18/01/2025 12:00,A,noite,M02,2,744.57,C,66.363,psi,1.687,39.21,57.21,2719,36.68,0,2.102,464.22,B07,0.09299475967869714,460.03,0
REG-00071,01-18-2025 18:00,Linha A,TARDE,M08,11,771.66,C,84.904,psi,2.713,45.2,73.79,4066,42.84,2,1.768,622.13,B07,1.6244555223125838,608.65,0
REG-00072,2025-01-19 00:00:00,linha c,Vespertino,M01,11,741.61,C,81.825,psi,3.011,37.92,60.38,1587,38.92,1,2.401,498.44,B07,0.9600772983713738,493.91,0
REG-00073,19/01/2025 06:00,linha_A,tarde,M05,10,758.15,C,,bar,"2,577",39.42,70.93,1252,59.98,0,2.225,470.74,X00,0.9301154737777166,451.77,0
REG-00074,01-19-2025 12:00,Linha A,MANHA,M02,14,754.11,C,4.719,bar,2.364,39.62,50.68,2526,26.55,0,2.077,480.27,C99,-0.21713309215251053,473.1,0
