registro_id,maquina,idade_maquina_anos,vibracao_motor_mm_s,velocidade_esteira_m_min,umidade_pct,tamanho_lote,tempo_setup_min,paradas_nao_planejadas,taxa_defeitos_pct,energia_sensor_b_kwh,codigo_campanha,ruido_aleatorio,consumo_energia_kwh,falha_24h,data_registro_pad,temperatura_c,pressao_bar,linha_producao_pad,turno_pad
REG-00000,M05,10,2.826,42.87,60.76,1958.0,34.68,3,2.044,550.54,C99,-1.0691204379907002,540.04,1,2025-01-01 00:00:00,764.04,5.925,C,tarde
REG-00001,M05,13,3.252,36.85,25.79,3569.0,48.07,2,2.443,584.19,X00,0.2570964007050288,576.34,0,2025-01-01 06:00:00,784.92,6.12225761524566,B,tarde
REG-00002,M02,10,3.003,40.38,79.18,2014.0,26.37,0,2.15,484.3,X00,-1.518390053038153,477.44,0,2025-01-01 12:00:00,751.23,5.337,C,noite
REG-00003,M07,9,2.526,35.66,61.34,2943.0,49.33,0,1.956,541.6,X00,-0.0940830195714273,521.25,0,2025-01-01 18:00:00,792.82,6.539,B,noite
REG-00004,M06,8,2.431,44.73,63.36,2728.0,21.74,1,2.022,443.83,B07,1.095612037126704,443.24,0,2025-01-02 00:00:00,741.9055555555556,3.996263048304582,A,manha
REG-00005,M07,4,2.788,42.75,53.28,2411.0,41.74,0,1.938,497.17,C99,0.5475538789942053,483.53,0,2025-02-01 06:00:00,743.73,4.695,C,manha
REG-00006,M04,5,3.37,34.59,32.74,1329.0,24.78,1,1.989,480.89,A12,-1.2339500495908844,471.29,0,2025-01-02 12:00:00,750.38,5.194,C,tarde
REG-00007,M08,12,2.518,43.58,63.1,3220.0,44.82,1,3.672,468.02,C99,-1.898386382837097,467.86,0,2025-01-02 18:00:00,727.46,4.399,C,tarde
REG-00008,M04,2,1.193,41.75,48.22,4958.0,44.65,2,3.209,548.14,C99,0.496944580460768,548.53,0,2025-03-01 00:00:00,738.43,4.939,A,manha
REG-00009,M07,2,1.329,44.32,61.53,3502.0,65.05,0,2.57,545.62,X00,1.5811987953584126,550.96,0,2025-01-03 06:00:00,-50.0,7.522,B,tarde
REG-00010,M02,6,2.526,40.24,52.37,3932.0,29.26,0,0.836,479.53,A12,-0.9639460368701672,468.62,0,2025-01-03 12:00:00,769.93,5.685,A,noite
REG-00011,M02,12,3.463,38.39,57.86,4174.0,47.6,1,3.238,532.46,X00,2.097404078176361,512.27,0,2025-03-01 18:00:00,727.18,4.145,A,noite
REG-00012,M05,10,3.066,38.53,45.7,960.0,38.31,2,3.722,490.13,C99,-0.0064932881690004,489.39,0,2025-01-04 00:00:00,764.6800000000001,5.561921703277761,B,tarde
REG-00013,M05,9,2.747,39.58,65.37,4129.0,35.36,0,1.27,542.27,A12,-1.958693533674366,549.04,0,2025-01-04 06:00:00,753.98,5.205,C,tarde
REG-00014,M06,9,2.908,42.08,40.74,1818.0,37.22,0,2.822,508.43,X00,-1.560880356713502,497.51,0,2025-04-01 12:00:00,801.1,6.678,B,manha
REG-00015,M03,2,1.449,42.67,81.95,3592.0,47.29,0,1.575,539.37,B07,0.7699491493714125,532.77,0,2025-01-04 18:00:00,764.64,5.537031674457729,A,tarde
REG-00016,M07,5,2.04,41.14,81.86,4932.0,35.14,1,2.647,547.52,B07,0.1295680408350344,545.05,0,2025-01-05 00:00:00,796.53,7.38,B,manha
REG-00017,M03,2,1.751,40.1,74.59,4555.0,64.39,1,1.626,522.86,A12,1.4822209657932637,522.73,0,2025-05-01 06:00:00,774.33,5.146,A,tarde
REG-00018,M05,12,2.526,40.42,70.31,2540.0,54.39,0,2.502,529.14,A12,-1.198124766698186,523.2,1,2025-01-05 12:00:00,764.6800000000001,5.349,C,noite
REG-00019,M08,12,2.537,41.85249999999999,53.99,4319.0,37.28,1,2.515,520.44,A12,0.1184947981637795,509.04,0,2025-01-05 18:00:00,748.96,5.648018277715403,A,manha
REG-00020,M05,4,1.515,38.53,69.0,3398.0,35.4,0,2.963,496.18,B07,0.0067610613883565,491.44,0,2025-06-01 00:00:00,789.88,6.123,B,manha
REG-00021,M06,5,2.494,39.49,53.85,1359.0,31.38,1,2.594,446.46,B07,-0.1430145230572419,449.23,0,2025-01-06 06:00:00,748.97,5.484,A,manha
REG-00022,M08,5,2.26,56.82,36.36,1807.0,50.6,0,2.18,505.04,B07,-0.3826072286469925,498.03,0,2025-01-06 12:00:00,766.5333333333333,5.981,C,noite
REG-00023,M08,14,2.526,43.89,73.04,4818.0,32.13,0,3.897,554.29,C99,-0.3626993755384807,537.86,0,2025-06-01 18:00:00,741.34,4.924,C,tarde
REG-00024,M04,8,1.712,35.79,54.67554680664917,4643.0,28.51,0,3.09,523.38,X00,0.1746458242803744,515.32,0,2025-01-07 00:00:00,746.188888888889,4.991,C,manha
REG-00025,M04,12,2.392,45.79,54.62,4545.0,42.3,1,3.399,583.99,X00,0.3025810278382157,574.82,0,2025-01-07 06:00:00,769.34,5.741,A,noite
REG-00026,M02,7,2.708,37.9,40.3,2413.0,51.6,2,3.318,586.21,B07,0.2525728501032434,512.27,0,2025-07-01 12:00:00,783.23,6.16,B,tarde
REG-00027,M05,11,1.68,46.09,47.97,2147.0,63.0,0,1.391,471.05,X00,1.2059875089071193,471.1,0,2025-01-07 18:00:00,775.2833333333333,5.931,A,tarde
REG-00028,M08,8,3.091,41.85249999999999,33.15,4185.0,61.17,0,2.579,521.91,C99,-1.2012785122887206,521.47,0,2025-01-08 00:00:00,758.2,5.38,A,noite
REG-00029,M04,5,2.526,40.02,66.34,884.0,47.36,0,2.126,421.9,B07,-1.811683534504736,512.27,0,2025-08-01 06:00:00,761.32,5.627835463809484,B,manha
REG-00030,M03,14,3.7,49.24,35.76,4569.0,50.81,0,4.639,592.59,A12,1.016965054387864,574.52,0,2025-01-08 12:00:00,801.9000000000001,7.021,B,manha
REG-00031,M01,11,2.53,44.55,58.44,3336.0,57.74,1,1.301,540.44,B07,-0.9435250409089916,528.8,0,2025-01-08 18:00:00,774.88,5.516,C,tarde
